game_id,num_matchup_history,num_team_history,num_opp_history,team_id_home,team_id_away,game_date,team_name_home,team_name_away,season_type,is_regular_season,is_playoffs,is_pre_season,pts_home,pts_away,wl_home
20000440,10,10,10,1610612750,1610612745,1/1/2001,Minnesota Timberwolves,Houston Rockets,Regular Season,1,0,0,106,96,1
20000441,7,10,10,1610612757,1610612766,1/1/2001,Portland Trail Blazers,Charlotte Hornets,Regular Season,1,0,0,89,67,1
20000444,10,10,10,1610612737,1610612738,1/2/2001,Atlanta Hawks,Boston Celtics,Regular Season,1,0,0,92,81,1
20000445,9,10,10,1610612739,1610612745,1/2/2001,Cleveland Cavaliers,Houston Rockets,Regular Season,1,0,0,95,100,0
20000446,10,10,10,1610612741,1610612749,1/2/2001,Chicago Bulls,Milwaukee Bucks,Regular Season,1,0,0,70,104,0
20000448,10,10,10,1610612746,1610612761,1/2/2001,Los Angeles Clippers,Toronto Raptors,Regular Season,1,0,0,110,97,1
20000443,10,10,10,1610612753,1610612751,1/2/2001,Orlando Magic,New Jersey Nets,Regular Season,1,0,0,110,120,0
20000449,10,10,10,1610612758,1610612756,1/2/2001,Sacramento Kings,Phoenix Suns,Regular Season,1,0,0,121,117,1
20000447,8,10,10,1610612759,1610612748,1/2/2001,San Antonio Spurs,Miami Heat,Regular Season,1,0,0,80,72,1
20000450,6,10,10,1610612760,1610612754,1/2/2001,Seattle SuperSonics,Indiana Pacers,Regular Season,1,0,0,83,91,0
20000442,9,10,10,1610612764,1610612750,1/2/2001,Washington Wizards,Minnesota Timberwolves,Regular Season,1,0,0,115,108,1
20000451,10,10,10,1610612738,1610612752,1/3/2001,Boston Celtics,New York Knicks,Regular Season,1,0,0,91,100,0
20000454,10,10,10,1610612742,1610612765,1/3/2001,Dallas Mavericks,Detroit Pistons,Regular Season,1,0,0,104,107,0
20000457,10,10,10,1610612744,1610612743,1/3/2001,Golden State Warriors,Denver Nuggets,Regular Season,1,0,0,100,111,0
20000456,10,10,10,1610612747,1610612762,1/3/2001,Los Angeles Lakers,Utah Jazz,Regular Season,1,0,0,82,71,1
20000453,10,10,10,1610612749,1610612739,1/3/2001,Milwaukee Bucks,Cleveland Cavaliers,Regular Season,1,0,0,88,83,1
20000452,10,10,10,1610612755,1610612737,1/3/2001,Philadelphia 76ers,Atlanta Hawks,Regular Season,1,0,0,98,80,1
20000455,10,10,10,1610612756,1610612746,1/3/2001,Phoenix Suns,Los Angeles Clippers,Regular Season,1,0,0,90,85,1
20000458,9,10,10,1610612757,1610612754,1/3/2001,Portland Trail Blazers,Indiana Pacers,Regular Season,1,0,0,102,86,1
20000459,7,10,10,1610612763,1610612766,1/3/2001,Vancouver Grizzlies,Charlotte Hornets,Regular Season,1,0,0,99,89,1
20000462,10,10,10,1610612741,1610612764,1/4/2001,Chicago Bulls,Washington Wizards,Regular Season,1,0,0,98,96,1
20000464,7,10,10,1610612745,1610612765,1/4/2001,Houston Rockets,Detroit Pistons,Regular Season,1,0,0,107,97,1
20000461,10,10,10,1610612748,1610612751,1/4/2001,Miami Heat,New Jersey Nets,Regular Season,1,0,0,81,78,1
20000463,10,10,10,1610612750,1610612760,1/4/2001,Minnesota Timberwolves,Seattle SuperSonics,Regular Season,1,0,0,105,92,1
20000460,10,10,10,1610612752,1610612753,1/4/2001,New York Knicks,Orlando Magic,Regular Season,1,0,0,95,92,1
20000465,7,10,10,1610612738,1610612744,1/5/2001,Boston Celtics,Golden State Warriors,Regular Season,1,0,0,88,100,0
20000468,10,10,10,1610612743,1610612762,1/5/2001,Denver Nuggets,Utah Jazz,Regular Season,1,0,0,100,87,1
20000470,7,10,10,1610612746,1610612766,1/5/2001,Los Angeles Clippers,Charlotte Hornets,Regular Season,1,0,0,73,86,0
20000466,8,10,10,1610612755,1610612760,1/5/2001,Philadelphia 76ers,Seattle SuperSonics,Regular Season,1,0,0,121,89,1
20000469,10,10,10,1610612756,1610612763,1/5/2001,Phoenix Suns,Vancouver Grizzlies,Regular Season,1,0,0,108,76,1
20000472,7,10,10,1610612757,1610612749,1/5/2001,Portland Trail Blazers,Milwaukee Bucks,Regular Season,1,0,0,119,115,1
20000471,6,10,10,1610612758,1610612754,1/5/2001,Sacramento Kings,Indiana Pacers,Regular Season,1,0,0,91,93,0
20000467,9,10,10,1610612761,1610612742,1/5/2001,Toronto Raptors,Dallas Mavericks,Regular Season,1,0,0,105,115,0
20000476,10,10,10,1610612737,1610612753,1/6/2001,Atlanta Hawks,Orlando Magic,Regular Season,1,0,0,83,82,1
20000477,10,10,10,1610612739,1610612755,1/6/2001,Cleveland Cavaliers,Philadelphia 76ers,Regular Season,1,0,0,103,107,0
20000478,10,10,10,1610612745,1610612762,1/6/2001,Houston Rockets,Utah Jazz,Regular Season,1,0,0,97,99,0
20000475,10,10,10,1610612748,1610612738,1/6/2001,Miami Heat,Boston Celtics,Regular Season,1,0,0,112,86,1
20000473,7,10,10,1610612751,1610612744,1/6/2001,New Jersey Nets,Golden State Warriors,Regular Season,1,0,0,97,92,1
20000479,9,10,10,1610612759,1610612765,1/6/2001,San Antonio Spurs,Detroit Pistons,Regular Season,1,0,0,108,101,1
20000474,6,10,10,1610612764,1610612742,1/6/2001,Washington Wizards,Dallas Mavericks,Regular Season,1,0,0,85,103,0
20000482,8,10,10,1610612743,1610612766,1/7/2001,Denver Nuggets,Charlotte Hornets,Regular Season,1,0,0,94,87,1
20000484,10,10,10,1610612747,1610612746,1/7/2001,Los Angeles Lakers,Los Angeles Clippers,Regular Season,1,0,0,95,118,0
20000480,10,10,10,1610612752,1610612764,1/7/2001,New York Knicks,Washington Wizards,Regular Season,1,0,0,103,87,1
20000483,10,10,10,1610612756,1610612750,1/7/2001,Phoenix Suns,Minnesota Timberwolves,Regular Season,1,0,0,88,108,0
20000481,6,10,10,1610612761,1610612760,1/7/2001,Toronto Raptors,Seattle SuperSonics,Regular Season,1,0,0,94,92,1
20000485,7,10,10,1610612763,1610612749,1/7/2001,Vancouver Grizzlies,Milwaukee Bucks,Regular Season,1,0,0,120,117,1
20000486,7,10,10,1610612738,1610612757,1/8/2001,Boston Celtics,Portland Trail Blazers,Regular Season,1,0,0,90,98,0
20000488,10,10,10,1610612739,1610612751,1/8/2001,Cleveland Cavaliers,New Jersey Nets,Regular Season,1,0,0,92,90,1
20000489,8,10,10,1610612741,1610612742,1/8/2001,Chicago Bulls,Dallas Mavericks,Regular Season,1,0,0,91,104,0
20000490,6,10,10,1610612746,1610612754,1/8/2001,Los Angeles Clippers,Indiana Pacers,Regular Season,1,0,0,82,85,0
20000487,7,10,10,1610612748,1610612744,1/8/2001,Miami Heat,Golden State Warriors,Regular Season,1,0,0,88,78,1
20000491,10,10,10,1610612758,1610612750,1/8/2001,Sacramento Kings,Minnesota Timberwolves,Regular Season,1,0,0,100,97,1
20000495,7,10,10,1610612737,1610612760,1/9/2001,Atlanta Hawks,Seattle SuperSonics,Regular Season,1,0,0,86,95,0
20000497,10,10,10,1610612749,1610612764,1/9/2001,Milwaukee Bucks,Washington Wizards,Regular Season,1,0,0,99,95,1
20000492,10,10,10,1610612751,1610612755,1/9/2001,New Jersey Nets,Philadelphia 76ers,Regular Season,1,0,0,87,104,0
20000493,9,10,10,1610612753,1610612759,1/9/2001,Orlando Magic,San Antonio Spurs,Regular Season,1,0,0,95,112,0
20000496,8,10,10,1610612761,1610612745,1/9/2001,Toronto Raptors,Houston Rockets,Regular Season,1,0,0,91,110,0
20000498,9,10,10,1610612762,1610612754,1/9/2001,Utah Jazz,Indiana Pacers,Regular Season,1,0,0,103,99,1
20000499,10,10,10,1610612763,1610612743,1/9/2001,Vancouver Grizzlies,Denver Nuggets,Regular Season,1,0,0,105,112,0
20000494,10,10,10,1610612766,1610612741,1/9/2001,Charlotte Hornets,Chicago Bulls,Regular Season,1,0,0,102,95,1
20000500,10,10,10,1610612738,1610612748,1/10/2001,Boston Celtics,Miami Heat,Regular Season,1,0,0,88,76,1
20000505,10,10,10,1610612746,1610612743,1/10/2001,Los Angeles Clippers,Denver Nuggets,Regular Season,1,0,0,92,86,1
20000504,10,10,10,1610612750,1610612742,1/10/2001,Minnesota Timberwolves,Dallas Mavericks,Regular Season,1,0,0,86,106,0
20000501,10,10,10,1610612755,1610612757,1/10/2001,Philadelphia 76ers,Portland Trail Blazers,Regular Season,1,0,0,75,93,0
20000506,9,10,10,1610612758,1610612739,1/10/2001,Sacramento Kings,Cleveland Cavaliers,Regular Season,1,0,0,108,103,1
20000502,9,10,10,1610612764,1610612760,1/10/2001,Washington Wizards,Seattle SuperSonics,Regular Season,1,0,0,101,104,0
20000503,10,10,10,1610612765,1610612761,1/10/2001,Detroit Pistons,Toronto Raptors,Regular Season,1,0,0,85,110,0
20000510,6,10,10,1610612737,1610612744,1/11/2001,Atlanta Hawks,Golden State Warriors,Regular Season,1,0,0,107,96,1
20000511,8,10,10,1610612749,1610612742,1/11/2001,Milwaukee Bucks,Dallas Mavericks,Regular Season,1,0,0,102,94,1
20000508,10,10,10,1610612751,1610612753,1/11/2001,New Jersey Nets,Orlando Magic,Regular Season,1,0,0,87,101,0
20000507,7,10,10,1610612752,1610612745,1/11/2001,New York Knicks,Houston Rockets,Regular Season,1,0,0,75,76,0
20000512,8,10,10,1610612756,1610612754,1/11/2001,Phoenix Suns,Indiana Pacers,Regular Season,1,0,0,93,85,1
20000509,8,10,10,1610612766,1610612757,1/11/2001,Charlotte Hornets,Portland Trail Blazers,Regular Season,1,0,0,70,83,0
20000513,10,10,10,1610612738,1610612761,1/12/2001,Boston Celtics,Toronto Raptors,Regular Season,1,0,0,72,93,0
20000516,10,10,10,1610612741,1610612766,1/12/2001,Chicago Bulls,Charlotte Hornets,Regular Season,1,0,0,85,86,0
20000518,10,10,10,1610612743,1610612758,1/12/2001,Denver Nuggets,Sacramento Kings,Regular Season,1,0,0,106,93,1
20000519,9,10,10,1610612747,1610612739,1/12/2001,Los Angeles Lakers,Cleveland Cavaliers,Regular Season,1,0,0,101,98,1
20000517,10,10,10,1610612750,1610612746,1/12/2001,Minnesota Timberwolves,Los Angeles Clippers,Regular Season,1,0,0,95,89,1
20000520,10,10,10,1610612760,1610612763,1/12/2001,Seattle SuperSonics,Vancouver Grizzlies,Regular Season,1,0,0,115,102,1
20000514,10,10,10,1610612764,1610612755,1/12/2001,Washington Wizards,Philadelphia 76ers,Regular Season,1,0,0,82,86,0
20000515,10,10,10,1610612765,1610612759,1/12/2001,Detroit Pistons,San Antonio Spurs,Regular Season,1,0,0,90,111,0
20000524,8,10,10,1610612737,1610612746,1/13/2001,Atlanta Hawks,Los Angeles Clippers,Regular Season,1,0,0,108,88,1
